group,model,display_name,task,source_task,task_name,factor,low_level,high_level,delta_high_minus_low,se,p_value,ci_low,ci_high,n_low,n_high
text,qwen3b,Qwen3B,Task6,task2,Top Layer,offset,3.0,12.5,-0.006000000000000005,0.014601255069967926,0.6811579441241438,-0.034618459937137136,0.02261845993713713,1500,1500
text,qwen3b,Qwen3B,Task7,task6,Direct Support,perspective,0.0,1.0,-0.0006666666666666488,0.017612225792574206,0.9698078105809065,-0.03518662922011209,0.033853295886778795,1500,1500
text,qwen3b,Qwen3B,Task7,task6,Direct Support,offset,3.0,12.5,-0.003333333333333355,0.017612124784963025,0.849899070236952,-0.03785309791186088,0.03118643124519417,1500,1500
text,qwen3b,Qwen3B,Task8,task7,Support Column,perspective,0.0,1.0,0.011333333333333334,0.012269005684316993,0.35569775459094755,-0.012713917807927973,0.03538058447459464,1500,1500
text,qwen3b,Qwen3B,Task8,task7,Support Column,offset,3.0,12.5,0.005999999999999978,0.012270262256917411,0.6248866104774989,-0.01804971402355815,0.030049714023558105,1500,1500
text,qwen3b,Qwen3B,Task9,task8,Hidden Object Count,perspective,0.0,1.0,0.009999999999999981,0.014318786542918738,0.48499176696735435,-0.018064821624120743,0.038064821624120705,1500,1500
text,qwen3b,Qwen3B,Task9,task8,Hidden Object Count,offset,3.0,12.5,-0.0006666666666666765,0.01431994606781295,0.9628709108711302,-0.02873376095958006,0.027400427626246705,1500,1500
text,qwen3b,Qwen3B,Target1,main,Object Counting,perspective,0.0,1.0,0.004,0.0052773917363272745,0.4485408844073818,-0.006343687803201457,0.014343687803201458,1500,1500
text,qwen3b,Qwen3B,Target1,main,Object Counting,offset,3.0,12.5,-0.009333333333333332,0.005275143981157344,0.07694946614694337,-0.019672615536401726,0.0010059488697350613,1500,1500
text,qwen3b,Qwen3B,Target2a,task10,Mental Rotation 90,perspective,0.0,1.0,0.03466666666666668,0.015942209025466544,0.029744139142293118,0.003419936976752254,0.06591339635658111,1500,1500
text,qwen3b,Qwen3B,Target2a,task10,Mental Rotation 90,offset,3.0,12.5,0.008000000000000007,0.015954107335702135,0.6160995323735968,-0.02327005037797618,0.03927005037797619,1500,1500
text,qwen3b,Qwen3B,Target2b,task11,Mental Rotation 180,perspective,0.0,1.0,0.007333333333333331,0.015621676134490434,0.6387941676941185,-0.02328515189026792,0.03795181855693458,1500,1500
text,qwen3b,Qwen3B,Target2b,task11,Mental Rotation 180,offset,3.0,12.5,-0.0020000000000000018,0.01562220755567562,0.8981394531971887,-0.032619526809124215,0.02861952680912421,1500,1500
