group,model,display_name,task,source_task,task_name,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_level,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high,above_chance_p
mcq345,claude4CQ,Claude 4CQ,Target2b,task11,Mental Rotation 180,0.36488027366020526,320,557,877,0.01625560720920206,0.3336726710897656,0.39726646711624103,0.25,0.15317369821360702,0.11156356145302082,0.19635528948832137,3.085095433260227e-14
mcq345,qwen4CQ,Qwen 4CQ,Task1,task1,Object Categorization,0.4826666666666667,1448,1552,3000,0.009123222302738501,0.46481874268356466,0.500558925699482,0.25,0.31022222222222223,0.2864249902447529,0.3340785675993094,9.427345086061597e-166
mcq345,qwen4CQ,Qwen 4CQ,Task2,task9,Cluster Count,0.23066666666666666,692,2308,3000,0.00769111079007351,0.21594224395879721,0.24607998783931093,0.25,-0.02577777777777779,-0.04541034138827038,-0.005226682880918765,0.9935270685924539
mcq345,qwen4CQ,Qwen 4CQ,Task3,task3,Column Count,0.2613333333333333,784,2216,3000,0.008021600468365031,0.2459233185650538,0.2773538076322797,0.25,0.015111111111111075,-0.005435575246594919,0.03647174350970624,0.07940370254483939
mcq345,qwen4CQ,Qwen 4CQ,Task4,task4,Layer Count,0.21033333333333334,631,2369,3000,0.007440726268813241,0.19612458454947332,0.22528298900567026,0.25,-0.052888888888888874,-0.0718338872673689,-0.032956014659106324,0.9999998568361962
mcq345,qwen4CQ,Qwen 4CQ,Task5,task5,Visible Object Count,0.38,1140,1860,3000,0.008861903482510591,0.36279456858337955,0.3975123663761737,0.25,0.17333333333333334,0.15039275811117273,0.19668315516823162,9.539546861511066e-56
mcq345,qwen4CQ,Qwen 4CQ,Task6,task2,Top Layer,0.31866666666666665,956,2044,3000,0.008507216979761404,0.30223347980943804,0.33556366635166446,0.25,0.09155555555555554,0.06964463974591739,0.11408488846888594,1.6199628047012662e-17
mcq345,qwen4CQ,Qwen 4CQ,Task7,task6,Direct Support,0.40066666666666667,1202,1798,3000,0.008946747805560202,0.38326883419376717,0.4183185730783075,0.25,0.2008888888888889,0.1776917789250229,0.22442476410441,2.300080790047946e-73
mcq345,qwen4CQ,Qwen 4CQ,Task8,task7,Support Column,0.397,1191,1809,3000,0.008932916656949173,0.37963391313585604,0.4146295393710938,0.25,0.19600000000000004,0.1728452175144747,0.21950605249479174,4.5410355735628004e-70
mcq345,qwen4CQ,Qwen 4CQ,Task9,task8,Hidden Object Count,0.15533333333333332,466,2534,3000,0.006613241486817411,0.142812966298948,0.16873528577932403,0.25,-0.12622222222222224,-0.142916044934736,-0.10835295229423463,1.0
mcq345,qwen4CQ,Qwen 4CQ,Target1,main,Object Counting,0.361,1083,1917,3000,0.008768865377002888,0.3440008641576645,0.3783546688371513,0.25,0.148,0.12533448554355267,0.17113955844953507,1.2653971782345846e-41
mcq345,qwen4CQ,Qwen 4CQ,Target2a,task10,Mental Rotation 90,0.13566666666666666,407,2593,3000,0.006251965616833963,0.12387773551417747,0.14838748646024358,0.25,-0.15244444444444447,-0.16816301931443003,-0.1354833513863419,1.0
mcq345,qwen4CQ,Qwen 4CQ,Target2b,task11,Mental Rotation 180,0.20166666666666666,605,2395,3000,0.007325690461706715,0.18769396337842498,0.21640244436824185,0.25,-0.06444444444444446,-0.08307471549543337,-0.044796740842344196,0.9999999998289482
mcq345,gemini3CQ,Gemini 3CQ,Task1,task1,Object Categorization,0.5196666666666667,1559,1441,3000,0.00912164499459431,0.5017745091365056,0.5375085209673456,0.3333333333333333,0.2795000000000001,0.25266176370475835,0.3062627814510184,8.60384897481958e-98
mcq345,gemini3CQ,Gemini 3CQ,Task2,task9,Cluster Count,0.5126666666666667,1538,1462,3000,0.00912577952023014,0.49477537328223176,0.5305255613609265,0.3333333333333333,0.2690000000000001,0.24216305992334763,0.2957883420413898,7.191011362934407e-91
mcq345,gemini3CQ,Gemini 3CQ,Task3,task3,Column Count,0.433,1299,1701,3000,0.009046380491666266,0.41536591468894934,0.45080545733013455,0.3333333333333333,0.1495,0.12304887203342403,0.17620818599520183,4.700251018853961e-30
mcq345,gemini3CQ,Gemini 3CQ,Task4,task4,Layer Count,0.651,1953,1047,3000,0.008702470913481987,0.6337598603607385,0.6678539131484905,0.3333333333333333,0.47650000000000003,0.45063979054110775,0.5017808697227357,7.450842554958752e-276
