group,model,display_name,correlation_type,focus_task,source_focus_task,focus_name,task,source_task,task_name,pearson_r,p_value,n
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task2,task9,Cluster Count,-0.02197889313343242,0.22879169825545365,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task2,task9,Cluster Count,-0.024139373968400053,0.19145585857619482,2930
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task3,task3,Column Count,-0.024705243178572426,0.17611811541615302,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task3,task3,Column Count,-0.027674073596286142,0.15161191111066943,2686
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task4,task4,Layer Count,-0.06191933647426513,0.0006905481147528935,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task4,task4,Layer Count,-0.06188129767776297,0.000698711011168301,2998
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task5,task5,Visible Object Count,-0.029151453630074507,0.11040739203420818,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task5,task5,Visible Object Count,-0.031402989852389894,0.09717964822866086,2791
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task6,task2,Top Layer,0.00921783574744883,0.6137822263629904,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task6,task2,Top Layer,0.009030146241275256,0.621369480801281,2994
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task7,task6,Direct Support,0.02731222551503797,0.13475590196659354,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task7,task6,Direct Support,0.026277776279171355,0.1530544894405962,2958
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task8,task7,Support Column,-0.01794582741672096,0.3258028984029975,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task8,task7,Support Column,-0.019284307782512736,0.2954820891546227,2945
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Task9,task8,Hidden Object Count,0.06270818000209119,0.0005890223810895888,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Task9,task8,Hidden Object Count,0.06034429280460868,0.0011514533984897696,2899
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Target1,main,Object Counting,-0.032124856555976036,0.07853138513153693,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Target1,main,Object Counting,-0.033971947697172086,0.07017422536874211,2842
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Target2a,task10,Mental Rotation 90,0.1558691405013708,8.983549445089635e-18,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Target2a,task10,Mental Rotation 90,0.15346469756306033,5.455111582234567e-16,2756
text,glm,GLM,naive,Target2b,task11,Mental Rotation 180,Target2b,task11,Mental Rotation 180,,,3000
text,glm,GLM,within_scene,Target2b,task11,Mental Rotation 180,Target2b,task11,Mental Rotation 180,,,2385
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Task1,task1,Object Categorization,,,0
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Task1,task1,Object Categorization,,,0
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Task2,task9,Cluster Count,-0.08278302345514994,5.622288063827799e-06,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Task2,task9,Cluster Count,-0.09535479268632695,2.1476527253529675e-07,2947
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Task3,task3,Column Count,0.09165300332577199,4.942381983489754e-07,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Task3,task3,Column Count,0.07174086452803768,0.00016867011087809677,2745
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Task4,task4,Layer Count,0.10572931147463566,6.44059914473697e-09,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Task4,task4,Layer Count,0.10583244588621593,6.334371115680403e-09,2997
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Task5,task5,Visible Object Count,0.1758546093321899,2.908995322170507e-22,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Task5,task5,Visible Object Count,0.16569035428246714,6.800031943152805e-19,2834
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Task6,task2,Top Layer,0.06811057545044194,0.00018894902737336296,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Task6,task2,Top Layer,0.06724114581515783,0.0002309480694240462,2995
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Task7,task6,Direct Support,0.12958937698065012,1.0407582150200571e-12,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Task7,task6,Direct Support,0.12603067561614947,5.330870537943153e-12,2973
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Task8,task7,Support Column,0.14093518041377298,8.844416135698215e-15,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Task8,task7,Support Column,0.13369753543437124,3.0414342810266023e-13,2951
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Task9,task8,Hidden Object Count,0.20524321681387442,6.762190248060781e-30,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Task9,task8,Hidden Object Count,0.19208913628736213,9.314518058339228e-26,2931
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Target1,main,Object Counting,0.1828188768062859,5.847892705232409e-24,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Target1,main,Object Counting,0.17578514731081027,2.092587784780015e-21,2878
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Target2a,task10,Mental Rotation 90,,,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Target2a,task10,Mental Rotation 90,,,2509
text,gpt,GPT,naive,Target2a,task10,Mental Rotation 90,Target2b,task11,Mental Rotation 180,0.21003631983805063,2.9241638018871264e-31,3000
text,gpt,GPT,within_scene,Target2a,task10,Mental Rotation 90,Target2b,task11,Mental Rotation 180,0.17345177028043454,4.674696250421464e-20,2756
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Task1,task1,Object Categorization,,,0
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Task1,task1,Object Categorization,,,0
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Task2,task9,Cluster Count,-0.08522012254779922,2.9501820625021246e-06,3000
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Task2,task9,Cluster Count,-0.10079104940783763,4.5677276441813584e-08,2930
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Task3,task3,Column Count,0.0760419291784471,3.0555038895629666e-05,3000
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Task3,task3,Column Count,0.052047988078591664,0.006974797514990499,2686
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Task4,task4,Layer Count,0.13930247532958012,1.8005349779223772e-14,3000
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Task4,task4,Layer Count,0.13923495339749165,1.8911840387287685e-14,2998
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Task5,task5,Visible Object Count,0.1672497732311609,2.920035298877694e-20,3000
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Task5,task5,Visible Object Count,0.15479770296248727,1.969863050226593e-16,2791
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Task6,task2,Top Layer,0.042098103422662445,0.02111793365174781,3000
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Task6,task2,Top Layer,0.04110444078299791,0.02450347869108162,2994
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Task7,task6,Direct Support,0.1145231560609594,3.1586600670118296e-10,3000
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Task7,task6,Direct Support,0.10844379627174715,3.3605755283526542e-09,2958
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Task8,task7,Support Column,0.1393028016444951,1.80028068187514e-14,3000
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Task8,task7,Support Column,0.13174205548315965,7.09316419581487e-13,2945
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Task9,task8,Hidden Object Count,0.2282112569715714,9.617305812297945e-37,3000
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Task9,task8,Hidden Object Count,0.21072298146392898,1.867635758686904e-30,2899
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Target1,main,Object Counting,0.16031303256249213,1.0078044176789033e-18,3000
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Target1,main,Object Counting,0.15124075038478912,5.23879947541454e-16,2842
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Target2a,task10,Mental Rotation 90,0.21003631983805063,2.9241638018871264e-31,3000
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Target2a,task10,Mental Rotation 90,0.17345177028043454,4.674696250421464e-20,2756
text,gpt,GPT,naive,Target2b,task11,Mental Rotation 180,Target2b,task11,Mental Rotation 180,,,3000
